TITLE,LATITUDE,LONGITUDE,Extracted Numbers,Lot_name,Capacity,SECTOR,Cluster_Label,Cluster_ID
Lot 484,39.16583274,-86.51900872,484,Lot 484,50.0,4,4,44
Lot 488,39.16722661,-86.51717889,488,Lot 488,50.0,4,7,47
Lot 500,39.17077329,-86.51539921,500,Lot 500,26.0,5,0,50
Lot 504,39.17010864,-86.51400932,504,Lot 504,6.0,5,1,51
Lot 508,39.16937319,-86.51241778,508,Lot 508,29.0,5,2,52
Lot 510,39.17088746,-86.51087889,510,Lot 510,4.0,5,3,53
Lot 512,39.17135898,-86.50899096,512,Lot 512,3.0,5,4,54
Lot 513,39.17069119,-86.5081628,513,Lot 513,11.0,5,4,54
Lot 514,39.17039859,-86.50749764,514,Lot 514,240.0,5,4,54
Lot 515,39.16992166,-86.50852915,515,Lot 515,398.0,5,4,54
Lot 517,39.16922868,-86.50803648,517,Lot 517,106.0,5,4,54
Lot 518,39.16849579,-86.5087267,518,Lot 518,22.0,5,4,54
Lot 520,39.16851166,-86.512700935,520,Lot 520,74.0,5,2,52
Lot 522,39.1687092,-86.5154284,522,Lot 522,11.0,5,5,55
Lot 524,39.16838049,-86.51561134,524,Lot 524,19.0,5,5,55
Lot 525,39.16802738,-86.51565563,525,Lot 525,26.0,5,5,55
Lot 529,39.16741081,-86.51495738,529,Lot 529,314.0,5,5,55
Lot 530,39.16677318,-86.51561038,530,Lot 530,6.0,5,5,55
Lot 532,39.16649995,-86.51490483,532,Lot 532,6.0,5,5,55
Lot 534,39.16641544,-86.51609502,534,Lot 534,27.0,5,5,55
Lot 536,39.16586213,-86.51609562,536,Lot 536,34.0,5,5,55
Lot 538,39.165587959999996,-86.51486587,538,Lot 538,16.0,5,5,55
Lot 540,39.165434989999994,-86.51517433500001,540,Lot 540,84.0,5,5,55
Lot 544,39.16520076,-86.51586799,544,Lot 544,18.0,5,5,55
Lot 547,39.16345466,-86.51478977,547,Lot 547,51.0,5,6,56
Lot 548,39.16479647,-86.51387869,548,Lot 548,40.0,5,5,55
Lot 550,39.16479659,-86.51360402,550,Lot 550,102.0,5,5,55
Lot 552,39.16453872,-86.51245601,552,Lot 552,9.0,5,5,55
Lot 554,39.16479553,-86.51132253,554,Lot 554,153.0,5,5,55
Lot 556,39.16687206,-86.51167885,556,Lot 556,15.0,5,7,57
Lot 562,39.16601986,-86.50972642,562,Lot 562,156.0,5,8,58
Lot 566,39.16734333,-86.50805204,566,Lot 566,15.0,5,9,59
Lot 569,39.171269,-86.50652,569,Lot 569,26.0,5,10,510
Lot 640,39.1620453,-86.53072949,640,Lot 640,10.0,6,0,60
Lot 650,39.16128757,-86.5038675,650,Lot 650,67.0,6,1,61
Lots 316 / 318 / 320 / 322 / 324 / 326,39.17099979,-86.52514019,316,Lots 316 / 318 / 320 / 322 / 324 / 326,50.0,3,3,33
