,CLM_CLM_DESCRIPTION,CON_CON_GPS_LATITUDE,CON_CON_GPS_LONGITUDE
0,IN-Vermont St East,39.776012600,-86.167387000
1,BL-202 700 N Indiana,39.172837900,-86.526050000
2,BL-554 Forest East,39.164437400,-86.511130000
3,BL-520 E 7th St,39.168528800,-86.512106000
4,BL-216 Briscoe West,39.178039600,-86.520738000
5,BL-515 Eigenmann South,39.170020500,-86.508986000
6,BL-256 Business/SPEA,39.173170000,-86.517481000
7,BL-538 Read South Circle,39.165568600,-86.514509000
9,BL-226 13th & Fee Lot,0.000000000,0.000000000
10,BL-230 Foster North,39.175825500,-86.516587000
11,BL-550 Forest West,39.165110700,-86.513590000
14,BL-207 12th St Lot,39.174559100,-86.524335000
15,BL-148 10th St at Sunrise,39.172088900,-86.513557000
16,BL-400 Poplars Garage,39.167776700,-86.528656000
17,BL-470 Music Practice,39.163498000,-86.519371000
19,BL-250 Geology,39.172372500,-86.521750000
20,BL-529 East Parking Garage-Lo,39.167205800,-86.515353000
21,BL-536 Read-SW,39.165959800,-86.516096000
22,BL-404 Von Lee-Kirkwood/Indiana,39.167302400,-86.527575000
45,BL-364 Wells Library/GISB,39.169428800,-86.516599000
47,BL-354 SPH West - Garrett FH,39.168688500,-86.522320000
48,BL-412 4th & Dunn,39.165862400,-86.527630000
49,BL-302 500 N College Wood House,\N,\N
54,BL-426 Atwater Lot @ Fess St,39.163426400,-86.524772000
55,BL-322 515 N Park-Telecomm,39.171223400,-86.525161000
63,BL-231 Foster East,39.174284400,-86.516988000
66,BL-528 East Parking Garage-Up,39.167316600,-86.516122000
67,BL-156 Tulip Tree,39.173827100,-86.504544000
72,BL-109 Blue Lot West-Section D/E,39.179478300,-86.522441000
75,BL-169 Smith Research,39.173124300,-86.499441000
76,BL-168 Stone Belt,39.172190700,-86.499104000
83,BL-158 RAHC - Health Sciences,39.178538600,-86.504572000
86,BL-440 918 E 3rd-Pike,39.163948200,-86.521915000
87,BL-258 Law Ln - Fee to Eagleson,39.173635500,-86.517054000
92,BL-478 Music Circle & Drives,39.164739600,-86.518901000
95,BL-146 Health Center-10&Eagleson,39.172704500,-86.515145000
102,BL-100 White Lot West,39.181909800,-86.526999000
106,BL-482 Morrison Hall,39.000000000,-87.000000000
109,BL-514 Eigenmann East,39.000000000,-87.000000000
112,BL-414 Law Lot,39.000000000,-87.000000000
114,BL-255 Fee Lane Garage,39.000000000,-87.000000000
117,BL-458 Ballantine Garage-Upper,39.000000000,-87.000000000
128,BL-220 McNutt West,39.000000000,-87.000000000
130,BL-455 IMU Circle,\N,\N
136,BL-534 Read-NW,39.000000000,-87.000000000
145,BL-540 Jones Ave,39.000000000,-87.000000000
153,BL-232 Foster West,39.000000000,-87.000000000
155,BL-562 Wilkie,39.000000000,-87.000000000
162,BL-547 Admissions Administration,39.000000000,-87.000000000
164,IN-Hine and Univ Tower Circle,40.000000000,-86.000000000
170,BL-249 901 E 10th S/Inform,\N,\N
174,BL-488 MAC,39.000000000,-87.000000000
175,BL-430 Optometry Lot-801 Atwater,39.000000000,-87.000000000
177,BL-258 Law Ln-Fee Ln to Jor,39.000000000,-87.000000000
178,BL-146 Health Center,39.000000000,-87.000000000
190,BL-110 Blue Lot East (Section F),\N,\N
193,BL-152 Campus View,39.000000000,-87.000000000
195,BL-106 White Lot South,39.000000000,-87.000000000
212,BL-525 300 N Jordan-South,39.000000000,-87.000000000
214,BL-504 Wright East/Campbell Dr,39.000000000,-87.000000000
215,BL-442 Atwater Parking Garage,\N,\N
225,BL-469 1015 Atwater,39.000000000,-87.000000000
239,BL-342 703/705 E 7th St,\N,\N
249,BL-506 Teter Circle,39.000000000,-87.000000000
